,0
33,"Quels sont les animaux que l’on retrouve en grand nombre dans la montagne ?
Les chats lait ! 🐈🥛"
34,"(histoire vraie)
2 camarades discutent :
« Je vais passer un test covid pour revoir mes grands-parents
- Je te souhaite que du positif !
- ... »"
35,"Quelle est la différence entre du chocolat et une belle mère ?
Le chocolat ça constipe et la belle mère ça fait chier ! 🍫"
36,"C’est un aveugle qui rentre dans un bar,
puis dans une table, puis dans une chaise, puis dans un mur, puis... 🕶️"
37,"Ta mère est tellement grosse,
Que quand elle se met sur une balance elle affiche : ""1 personne à la fois SVP"" ! ⚖️"
38,"Quelle est l'expression préférée des vampires ? 🧛‍♂️
Bon sang !"
39,"Un jeune couple de squelettes arrive à l'hôtel :
- Nous voudrions une belle chambre pour notre nuit de n'os ! 🦴"
40,"Melon et Melèche veulent acheter un billard...
Melon achète la table et Melèche les boules !"
41,"Qu’est ce qui a 2 pattes et qui saigne beaucoup ?
Un demi chien ! 🐾"
42,"Qu’est ce qui sent le cul de vache ?
La langue de bœuf !"
43,"Quelle est le comble pour un jardinier ? 👨‍🌾
C'est de se mettre tout nu devant ses tomates pour qu'elles rougissent ! 🍅🍅🍅"
44,"Comment appelle-t-on un chien dans une pharmacie ? 🐕
Un pharmachien !"
45,"Tu veux que je te raconte une blague à 2 balles ?
PAN PAN !!!!!! 🔫"
46,"Quel métier les chiens peuvent-ils exercer ?
Électrichien 🐕⚡🔌"
47,"Melon et Melèche jouent au Scrabble.
Melon pioche le A et Melèche le Q !"
48,"Comment dit-on ""couche"" en Japonais ?
Sakakiki !"
49,"Ta mère est tellement lourde,
Que quand on va au bowling c'est elle qu'on jette et pas la boulle ! 🎳"
50,"Tu connais la blague du con qui dit non ?
Non !"
51,"Pourquoi une blonde met des boulles caisses dans les oreilles quand elle va à l'église ?
Parce que Jésus crie !"
52,"Pourquoi une blonde prend un seau rempli d'eau et une éponge quand elle va à l'église ?
Pour l'ave maria !"
53,"Personne, Rien et Stupide sont 3 pêcheurs qui vont à la pêche.
Soudain, Personne, qui ne sait pas nager, tombe à l'eau. Alors Rien dit à Stupide d'appeler le 18. Stupide dit :
""-Allô, c'est Stupide. J'appelle pour Rien car Personne est tombé à l'eau."""
54,"Que dit un saucisson pour remercier quelqu'un ?
J'te r'vaudrai ça l'ami ! 😂"
55,"A quoi servent des archipels ?
Ben à faire des architrous !!!"
56,"C'est l'histoire d'un têtard il croyait qu'il était tôt...
Mais il était tard ! En fait, il était dans l'étang ! 🐸"
57,"Les grains de sables
Deux grains de sables sont dans le désert. L’un dit inquiet à l’autre :
« Attention, je crois que nous sommes suivis ! »"
58,"Qu'est ce qui monte, qui descend, qui tourne, mais qui ne bouge pas ?
La route 🛣️"
59,"Que dit un œuf qui attend son pote depuis 1 heure ?
S'il arrive pas dans 10 minutes, j'me casse !"
60,"- Pète puis Répète s'en vont à l'eau, Pète tombe à l'eau, qui reste sur le bateau ?
- Répète !
- Pète puis Répète s'en vont à l'eau, Pète tombe à l'eau, qui reste sur le bateau ?
- Répète !
- Pète puis Répète s'en vont à l'eau, Pète tombe à l'eau, qui reste sur le bateau ?
- Répète !
- Pète puis Répète s'en vont à l'eau, Pète tombe à l'eau, qui..."
61,"Deux poissons discutent :
– On rentre ?
– Oui je me les caille ! 🐡"
